Frame,ID,Class,X,Y,Width,Height
38,1,car,597,383,156,113
38,2,car,1074,273,60,46
38,3,truck,655,300,115,93
38,4,truck,702,202,68,57
38,5,car,813,359,137,106
38,6,car,464,297,95,66
38,7,truck,885,241,50,41
38,8,car,409,265,71,56
38,9,car,808,232,44,30
38,10,car,461,237,53,50
38,12,truck,249,161,34,44
38,19,car,324,216,46,32
39,1,car,598,384,156,114
39,2,car,1071,273,61,46
39,3,truck,657,301,116,95
39,4,truck,701,202,67,58
39,5,car,816,360,139,106
39,6,car,466,297,97,66
39,7,truck,884,240,50,41
39,8,car,410,266,74,57
39,9,car,808,233,42,30
39,10,car,462,237,54,50
39,12,truck,249,161,34,44
39,19,car,325,217,44,30
40,1,car,601,386,155,115
40,2,car,1069,272,60,45
40,3,truck,660,301,115,95
40,4,truck,700,202,65,58
40,5,car,822,361,139,107
40,6,car,467,297,97,66
40,7,truck,882,240,50,40
40,8,car,411,266,73,58
40,9,car,807,233,44,30
40,10,car,462,237,54,50
40,12,truck,249,161,34,45
40,19,car,325,218,44,29
41,1,car,603,387,155,117
41,2,car,1068,272,62,45
41,3,truck,663,302,117,96
41,4,truck,699,202,64,58
41,5,car,825,363,140,108
41,6,car,468,298,98,67
41,7,car,881,240,50,40
41,8,car,411,266,74,59
41,9,car,806,233,43,30
41,10,truck,463,237,54,50
41,12,truck,249,161,34,44
41,19,car,325,217,43,30
42,1,car,605,389,156,117
42,2,car,1066,271,60,45
42,3,truck,665,303,119,96
42,4,truck,699,202,64,58
42,5,car,830,365,141,108
42,6,car,469,299,99,67
42,7,truck,880,240,49,39
42,8,car,413,266,74,59
42,9,car,805,232,42,31
42,10,car,464,238,55,50
42,12,truck,250,161,34,44
42,19,car,325,217,44,31
43,1,car,608,390,158,118
43,2,car,1064,271,62,45
43,3,truck,668,304,120,96
43,4,truck,698,202,64,58
43,5,car,835,366,142,109
43,6,car,471,300,100,67
43,7,truck,879,240,50,39
43,8,car,414,267,74,59
43,9,car,804,232,43,31
43,10,car,465,238,56,49
43,12,truck,250,161,34,44
43,19,car,325,217,45,32
44,1,car,610,391,159,119
44,2,car,1063,271,60,45
44,3,truck,670,304,121,97
44,4,truck,698,202,63,58
44,5,car,839,368,143,110
44,6,car,472,301,99,67
44,7,truck,878,240,50,39
44,8,car,414,268,74,59
44,9,car,803,232,43,31
44,10,car,465,238,57,49
44,12,truck,249,161,34,44
44,19,car,325,217,44,33
45,1,car,613,392,160,120
45,2,car,1061,270,61,45
45,3,truck,673,305,120,97
45,4,truck,697,202,63,57
45,5,car,844,369,144,110
45,6,car,473,301,100,68
45,7,truck,877,239,50,39
45,8,car,415,267,75,59
45,9,car,802,231,42,31
45,10,car,466,238,58,49
45,12,truck,250,161,34,45
45,19,car,326,217,43,34
45,37,car,673,305,120,97
46,1,car,615,394,161,121
46,2,car,1059,270,61,45
46,3,truck,676,306,122,99
46,4,truck,697,202,62,58
46,5,car,848,371,146,111
46,6,car,474,302,99,69
46,7,car,876,239,50,40
46,8,car,417,268,76,59
46,9,car,802,231,41,31
46,10,car,467,239,57,50
46,12,truck,250,161,34,45
46,19,car,327,217,42,34
46,37,car,676,306,122,98
46,38,truck,876,239,51,40
47,1,car,618,396,162,122
47,2,car,1057,270,61,45
47,3,truck,678,306,124,99
47,4,truck,697,201,63,57
47,5,car,853,372,147,111
47,6,car,475,302,99,69
47,8,car,418,269,77,59
47,9,car,800,231,44,31
47,10,car,468,239,56,50
47,12,truck,250,161,35,45
47,19,car,327,217,43,34
48,1,car,621,399,163,123
48,2,car,1056,270,61,45
48,3,truck,681,308,125,100
48,4,truck,696,201,63,57
48,5,car,858,374,148,113
48,6,car,477,303,99,69
48,8,car,419,270,79,58
48,9,car,799,231,44,31
48,10,car,469,239,56,51
48,12,truck,250,161,35,44
48,19,car,327,217,44,34
48,7,truck,874,238,51,39
49,1,car,624,401,163,123
49,2,car,1054,269,60,45
49,3,truck,684,308,126,100
49,4,truck,696,201,64,57
49,5,car,863,376,148,115
49,6,car,478,303,99,70
49,8,car,420,270,79,59
49,9,car,798,231,44,30
49,10,car,470,240,58,51
49,12,truck,250,161,35,45
49,19,car,328,218,45,34
49,39,car,873,239,50,40
49,7,truck,873,238,50,39
50,1,car,628,402,164,124
50,2,car,1052,269,60,44
50,3,truck,686,310,126,100
50,4,truck,695,201,63,57
50,5,car,868,378,149,116
50,6,car,479,304,100,70
50,8,car,420,270,78,59
50,9,car,797,230,43,30
50,10,car,471,240,59,52
50,12,truck,251,161,35,44
50,19,car,328,218,46,35
50,7,truck,871,238,51,39
51,1,car,631,405,167,124
51,2,car,1051,269,59,44
51,3,truck,689,310,127,102
51,4,truck,694,201,64,56
51,5,car,873,379,152,116
51,6,car,481,305,101,71
51,8,car,421,270,79,60
51,9,car,796,230,44,31
51,10,car,472,241,59,52
51,12,truck,251,161,34,44
51,19,car,328,218,46,35
51,7,truck,871,239,51,40
52,1,car,634,406,168,126
52,2,car,1050,268,59,43
52,3,truck,692,311,127,103
52,4,truck,693,201,65,56
52,5,car,878,381,153,117
52,6,car,482,306,102,71
52,8,car,422,271,80,60
52,9,car,795,230,42,31
52,10,car,473,241,59,51
52,12,truck,251,161,34,43
52,19,car,328,218,46,35
52,7,truck,870,238,50,39
53,1,car,637,408,169,127
53,2,car,1048,268,59,43
53,3,truck,694,312,127,104
53,4,truck,693,201,64,57
53,5,car,883,383,153,118
53,6,car,483,307,102,72
53,8,car,422,271,80,62
53,9,car,794,230,42,32
53,10,car,474,241,58,51
53,12,truck,251,161,34,43
53,19,car,329,218,44,35
53,7,truck,868,238,51,39
54,1,car,640,410,169,128
54,2,car,1046,268,59,43
54,3,truck,696,313,128,104
54,4,truck,693,201,63,57
54,5,car,889,385,155,119
54,6,car,484,307,103,73
54,8,car,423,271,79,62
54,9,car,794,230,43,32
54,10,car,475,241,58,50
54,12,truck,251,161,34,43
54,19,car,329,219,43,35
54,7,truck,867,238,50,39
55,1,car,643,412,171,129
55,2,car,1044,268,59,43
55,3,truck,700,313,130,105
55,4,truck,692,200,64,57
55,5,car,894,386,158,120
55,6,car,486,308,104,73
55,8,car,424,272,77,62
55,9,car,793,230,42,32
55,10,car,477,241,58,51
55,12,truck,251,161,33,44
55,19,car,330,219,45,35
55,7,truck,866,237,51,39
56,1,car,646,414,174,129
56,2,car,1042,268,58,43
56,3,truck,703,315,131,106
56,4,truck,691,200,65,56
56,5,car,899,389,160,120
56,6,car,488,309,105,74
56,8,car,425,273,79,61
56,9,car,792,230,42,32
56,10,car,478,242,58,51
56,12,truck,252,161,34,43
56,19,car,331,219,46,34
56,7,truck,866,237,50,39
56,45,car,431,227,49,34
57,1,car,649,416,176,130
57,2,car,1041,268,58,43
57,3,truck,705,315,131,106
57,4,truck,690,200,65,56
57,5,car,904,390,160,121
57,6,car,489,309,105,74
57,8,car,425,274,79,61
57,9,car,791,230,42,32
57,10,car,478,242,58,51
57,12,truck,251,161,34,43
57,19,car,331,219,46,35
57,7,truck,865,237,51,39
57,45,car,431,227,48,34
58,1,car,652,418,177,131
58,2,car,1040,267,59,43
58,3,truck,708,316,130,107
58,4,truck,690,200,64,57
58,5,car,910,391,162,122
58,6,car,491,309,106,75
58,8,car,426,274,79,60
58,9,car,790,229,42,31
58,10,car,479,243,57,51
58,12,truck,251,161,34,43
58,19,car,332,219,47,35
58,7,car,864,237,51,40
58,45,car,431,227,47,34
59,1,car,659,420,183,132
59,2,car,1038,267,58,42
59,3,truck,711,317,131,107
59,4,truck,690,200,63,57
59,5,car,916,393,162,124
59,6,car,492,310,107,74
59,8,car,427,274,80,61
59,9,car,790,229,42,31
59,10,car,480,243,58,51
59,12,truck,251,162,34,43
59,19,car,332,219,48,36
59,7,truck,863,237,50,40
59,45,car,432,227,47,34
59,48,car,394,214,44,37
